CRS_DPT_CD,CRS_NO,CRS_MIN_CDT,CRS_MAX_CDT,CRS_CREDITVARIABLE,CRS_SHORTTITLE,CRS_LONGTITLE,CRS_DESCRIPTION,CRS_STARTTERM,CRS_ENDTERM,CRS_CREDITVECTOR,ADMIN_CAMPUS_CD,CRS_LEVEL,CRS_GRADE_TYPE,CRS_CRSE_TYP_CD,Pre-requisites,Core-requisites,CRS_DUPLICATES,CRS_DUPLNOTE,CRS_CRSE_REF_CD,CRS_FACL_APPR_DT,CRS_SNTE_APPR_DT,SEC_SES
APSC,411,6.0,6.0,,COOP WORK PLCMNT,Co-operative Work Placement,"Supervised, technical work experience in an approved company or organization for a minimum of three months. Technical report. Restricted to students meeting the requirements of the Faculty of Applied Science and Co-operative Education.",2008W,,,UBC,U,PASS,ACAD,,,,,, 11/29/2007, 11/29/2007,2018W
APSC,412,6.0,6.0,,COOP WORK PLCMNT,Co-operative Work Placement,"Supervised, technical work experience in an approved company or organization for a minimum of three months. Technical report. Restricted to students meeting the requirements of the Faculty of Applied Science and Co-operative Education Programs.",2008W,,,UBC,U,PASS,ACAD,,,,,, 11/29/2007, 11/29/2007,2018W
APSC,440,3.0,3.0,,MGMT FUND TECH,Management Fundamentals for Technology-Based Product Marketing and Development,"Management topics are presented from the perspective of technology-based industrial practice; project management, marketing and marketing planning, product development and commercialization, introduction to quality management, teamwork and effective individual participation.",1997W,,[3-0-0],UBC,U,PCNT,ACAD, (Fourth-year standing in Engineering.),,,,, 11/14/1996, 01/15/1997,2018W
APSC,450,2.0,2.0,,PROF ENG PRACTCE,Professional Engineering Practice,"Legislation affecting the practice of engineering; ethical principles and responsibilities. Management of engineering enterprises; labour relations, safety and environmental legislation. Restricted to engineering undergraduate students in the final year of their program.",2004W,,[2-0-0],UBC,U,PCNT,ACAD,,,,,, 12/21/2004, 12/21/2004,2018W
APSC,486,6.0,6.0,,NEW VEN DESIGN,New Venture Design,"Teams comprising students in APSC 486 and COMM 486 create a business plan and a prototype or engineering solution of a novel product, process, or process component.",2004W,,[1-4-0; 1-4-0],UBC,U,PCNT,ACAD,,,,,, 12/17/2003, 12/17/2003,2018W
APSC,496,1.0,9.0,d,INTER ENG PRJECT,Interdisciplinary Engineering Design Project,Projects involving students from several departments.,2004W,,,UBC,U,PCNT,ACAD,,,,,, 12/17/2003, 12/17/2003,2018W
APSC,498,1.0,6.0,d,DIRECTED STUDIES,Directed Studies,Requires approval of a Department Head or Program Director.,2004W,,,UBC,U,PCNT,ACAD,,,,,, 12/17/2003, 12/17/2003,2018W
APSC,512,3.0,3.0,,,Intellectual Property Management and Technology Commercialization,"Nature of knowledge and intellectual property. Value creation through knowledge and competitive advantage of knowledge. Copyrights, patents, trademarks, and licenses. Negotiation of deals and contracts involving knowledge and technology transfer or commercialization. Market assessments and valuations.",2000W,,,UBC,G,PCNT,ACAD,,,,,, 01/19/2000, 01/19/2000,2018W
APSC,540,3.0,3.0,,BUS DEC FOR ENG VENT,Business Decisions for Engineering Ventures,"Issues and case studies in creating and running engineering ventures and projects, with a particular emphasis on strategic planning, engineering economics, finance and risk.",2001W,,,UBC,G,PCNT,ACAD,,,,,, 03/01/2001, 05/16/2001,2018W
APSC,541,3.0,3.0,,TECH ENT ENGIN,Technology Entrepreneurship for Engineers,"A broad introduction to the entrepreneurial process, for engineers who would like to form or grow a technology company, and those with a general interest in the field. Key factors of new venture creation are identified and evaluated.",2011W,,,UBC,G,PCNT,ACAD,,,,,, 11/03/2010, 02/03/2011,2018W
APSC,598,1.0,6.0,d,Topics in Eng,Topics in Engineering,,2001W,,,UBC,G,PCNT,ACAD,,,,,, 11/09/2000, 01/17/2001,2018W
ARBC,101,3.0,3.0,,INTRO: CLASSICAL,Introduction to the Grammar and Vocabulary of Classic Arabic,,2014W,,,UBC,U,PCNT,ACAD,,,,,, 02/13/2014, 04/16/2014,2018W
ARBC,102,3.0,3.0,,INTRO CLASSCL II,Introduction to the Grammar and Vocabulary of Classic Arabic II,,2014W,,,UBC,U,PCNT,ACAD,ARBC 101.,,,,, 02/13/2014, 04/16/2014,2018W
ARBC,201,3.0,3.0,,INTM CLASSICL I,Classical Arabic (Intermediate) I,Increased reading ability as well as learning the further essentials of grammar.,2014W,,,UBC,U,PCNT,ACAD,ARBC 102.,,,,, 02/13/2014, 04/16/2014,2018W
ARBC,202,3.0,3.0,,INTM CLASSICL II,Classical Arabic (Intermediate) II,Increased reading ability as well as learning the further essentials of grammar. Continuation of ARBC 201.,2014W,,,UBC,U,PCNT,ACAD,ARBC 201.,,,,, 02/13/2014, 04/16/2014,2018W
ARBC,420,3.0,12.0,d,CLASSICAL ARABIC,Supervised Study in Classical Arabic,Religious and literary Arabic texts pertaining to the early and medieval Islamic world.,2003S,,,UBC,U,PCNT,ACAD,ARBC 400.,,,,, 10/24/2002, 11/27/2002,2018W
ARCH,403,3.0,3.0,,THEMES IN ARCH,Themes in Architecture and Design,Introduction to a broad range of themes in architecture and design. Restricted to B.En.D. students.,2014W,,,UBC,U,PCNT,ACAD,,,,,, 04/23/2014, 04/23/2014,2018W
ARCH,404,3.0,9.0,d,ARCH HIST I,Topics in Architectural History I (Pre-1900),"History of architecture in the pre-1900 time period. Technological, political, social, and economic changes that have influenced architecture and related fields.",2017W,,,UBC,U,PCNT,ACAD,,,,,, 12/01/2016, 07/17/2017,2018W
ARCH,405,3.0,9.0,d,ARCH HIST II,Topics in Architectural History II (1900-Present),"History of architecture in the post-1900 time period. Technological, political, social, and economic changes which have influenced architecture and related fields.",2017W,,,UBC,U,PCNT,ACAD,,,,,, 12/01/2016, 07/17/2017,2018W
